time;game;playerid;win/lose;
3:14:48 ;BlackJack;76561198014770158;9000;
3:15:0 ;BlackJack;76561198014770158;-3000;
3:15:7 ;BlackJack;76561198014770158;-3000;
3:15:10 ;BlackJack;76561198014770158;4500;
3:15:20 ;BlackJack;76561198014770158;-3000;
3:15:23 ;BlackJack;76561198014770158;-3000;
3:15:25 ;BlackJack;76561198014770158;-3000;
3:15:33 ;BlackJack;76561198014770158;4500;
3:15:40 ;BlackJack;76561198014770158;-3000;
3:15:45 ;BlackJack;76561198014770158;-3000;
3:15:50 ;BlackJack;76561198014770158;9000;
3:15:55 ;BlackJack;76561198014770158;-3000;
3:15:59 ;BlackJack;76561198014770158;4500;
3:16:4 ;BlackJack;76561198014770158;4500;
3:16:8 ;BlackJack;76561198014770158;-3000;
3:16:12 ;BlackJack;76561198014770158;4500;
3:16:20 ;BlackJack;76561198014770158;4500;
3:16:26 ;BlackJack;76561198014770158;4500;
3:16:27 ;BlackJack;76561198014770158;9000;
3:16:31 ;BlackJack;76561198014770158;4500;
3:16:35 ;BlackJack;76561198014770158;-3000;
3:16:38 ;BlackJack;76561198014770158;4500;
3:16:49 ;BlackJack;76561198014770158;-3000;
3:16:55 ;BlackJack;76561198014770158;-3000;
3:16:59 ;BlackJack;76561198014770158;-3000;
3:17:1 ;BlackJack;76561198014770158;-3000;
3:17:4 ;BlackJack;76561198014770158;-3000;
3:17:6 ;BlackJack;76561198014770158;4500;
3:17:13 ;BlackJack;76561198014770158;4500;
3:17:14 ;BlackJack;76561198014770158;9000;
3:17:18 ;BlackJack;76561198014770158;-3000;
3:17:23 ;BlackJack;76561198014770158;-3000;
3:17:28 ;BlackJack;76561198014770158;4500;
3:17:36 ;BlackJack;76561198014770158;3000;
3:17:40 ;BlackJack;76561198014770158;3000;
3:17:42 ;BlackJack;76561198014770158;-3000;
3:17:50 ;BlackJack;76561198014770158;-3000;
3:17:54 ;BlackJack;76561198014770158;-3000;
3:17:57 ;BlackJack;76561198014770158;-3000;
3:18:0 ;BlackJack;76561198014770158;9000;
3:18:5 ;BlackJack;76561198014770158;3000;
3:18:9 ;BlackJack;76561198014770158;-3000;
3:18:26 ;BlackJack;76561198014770158;-10000;
3:18:39 ;BlackJack;76561198014770158;-7029;
